trade_flow,period_date,year,month_number,month_name,hs_code,product_category,product_description,partner_country,record_type,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_value_column,source_file
export,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,THAILAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012100/71012100_2018_01.html
export,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,U ARAB EMTS,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012100/71012100_2018_01.html
export,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,U S A,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012100/71012100_2018_01.html
export,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,VIETNAM SOC REP,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012100/71012100_2018_01.html
export,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,Total,TOTAL,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012100/71012100_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,AUSTRALIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,BAHARAIN IS,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,BELGIUM,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,BHUTAN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,CHINA P RP,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,DENMARK,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,ESTONIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,HONG KONG,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
export,2018-01-01,2018,1,January,71012200,Cultured Pearls,Cultured pearls - worked,ITALY,PARTNER,0.03,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71012200/71012200_2018_01.html
